2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | setup_professional_logging:66 | ================================================================================
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:40 |    └── ✅ Criterio de pérdida configurado: CrossEntropyLoss
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:23 | ⚙️  CONFIGURACIÓN DE PARÁMETROS
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:24 |    ├── Modelo: 05 ResNet v1.0.0
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:25 |    ├── Batch size: 50
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:26 |    ├── Test size: 0.2 (20.0%)
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:27 |    ├── Tamaño de imagen: 299x299
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:28 |    ├── Semilla aleatoria: 42
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:29 |    ├── CPU cores disponibles: 10
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:30 |    └── Crear directorios PyTorch: Sí
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:32 | 📁 CONFIGURACIÓN DE RUTAS
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:33 |    ├── BASE_DIR: ../
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:34 |    ├── CSV de entrenamiento: ../input/petfinder-adoption-prediction/train/train.csv
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:35 |    ├── Directorio de imágenes: ../input/petfinder-adoption-prediction/train_images
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:36 |    ├── Archivos temporales: ../work/petfinder/optuna_temp_artifacts
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:37 |    └── Artefactos Optuna: ../work/petfinder/optuna_artifacts
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:63 | 📂 DIRECTORIOS DE TRABAJO CREADOS
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:64 |    ├── Entrenamiento: ../work/train_images_classes
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:65 |    ├── Validación: ../work/val_images_classes
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:66 |    ├── Archivos temporales: ../work/petfinder/optuna_temp_artifacts
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:67 |    └── Artefactos Optuna: ../work/petfinder/optuna_artifacts
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:71 | 🏷️  CLASES DEFINIDAS: ['0', '1', '2', '3', '4']
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:35 | 🔄 CREANDO DATALOADERS
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:36 |    ├── Directorio entrenamiento: ../work/train_images_classes
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:37 |    ├── Directorio validación: ../work/val_images_classes
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:38 |    ├── Batch size: 50
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:39 |    └── Workers: 10
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:43 |    ├── ✅ DataLoaders creados exitosamente
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:44 |    ├── Batches de entrenamiento: 235
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:45 |    ├── Batches de validación: 59
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:46 |    ├── Muestras de entrenamiento: 11721
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:47 |    └── Muestras de validación: 2931
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:4 | 🆔 IDs DE MUESTRAS EXTRAÍDOS
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:5 |    ├── Total IDs extraídos: 2931
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:6 |    ├── Primeros 5 IDs: ['015da9e87', '022606901', '02f89bdcb', '0cf7fae9d', '0e922caab']
2025-08-20 15:56:55 | petfinder_enhanced_v5 |     INFO | <module>:7 |    └── Últimos 5 IDs: ['ff2cf88a0', 'ff498c903', 'ff50c6171', 'ff5e30380', 'ffa5c6c35']
2025-08-20 15:56:56 | petfinder_enhanced_v5 |     INFO | train_val:5 | ================================================================================
2025-08-20 15:56:56 | petfinder_enhanced_v5 |     INFO | train_val:6 | 🚀 INICIANDO ENTRENAMIENTO - Entrenamiento único
2025-08-20 15:56:56 | petfinder_enhanced_v5 |     INFO | train_val:7 |    ├── Learning rate: 0.001
2025-08-20 15:56:56 | petfinder_enhanced_v5 |     INFO | train_val:8 |    ├── Momentum: 0.9
2025-08-20 15:56:56 | petfinder_enhanced_v5 |     INFO | train_val:9 |    ├── Épocas: 2
2025-08-20 15:56:56 | petfinder_enhanced_v5 |     INFO | train_val:10 |    ├── Dispositivo: mps
2025-08-20 15:56:56 | petfinder_enhanced_v5 |     INFO | train_val:11 |    ├── Tamaño entrenamiento: 11994 muestras
2025-08-20 15:56:56 | petfinder_enhanced_v5 |     INFO | train_val:12 |    └── Tamaño validación: 2999 muestras
2025-08-20 15:56:56 | petfinder_enhanced_v5 |     INFO | train_val:301 | 
2025-08-20 15:56:56 | petfinder_enhanced_v5 |     INFO | train_val:302 | 📊 ÉPOCA 1/2
2025-08-20 15:56:56 | petfinder_enhanced_v5 |     INFO | train_val:303 |    └── Tiempo actual: 15:56:56
